pas	CNTRL_29765	KD_29766	CNTRL_32682	KD_32683	PAS_overlap
chr3:-:96617489:TE	132.74	89.80	16.55	16.99	OVERLAP
chr3:-:96617357:TE	6.20	2.65	1.80	2.47	OVERLAP
chr10:+:80091866:TE	4.80	8.48	3.20	5.33	OK
chr10:+:80092550:TE	27.08	44.49	24.40	32.35	OK
chr19:+:13153638:TE	1.76	0.22	2.13	1.09	OK
chr19:+:13154911:TE	16.16	22.40	20.44	26.23	OK
chr17:-:6644353:TE	1.47	2.45	1.87	2.61	OVERLAP
chr17:-:6644291:TE	52.01	85.25	41.63	51.84	OVERLAP
chr1:+:39004281:TE	2.94	1.34	1.60	0.76	OK
chr1:+:39005806:TE	8.33	4.34	3.93	2.23	OVERLAP
chr1:+:39005885:TE	177.13	154.46	200.06	180.23	OVERLAP
chr1:+:39006058:TE	42.61	40.17	24.13	24.06	OVERLAP
chr20:-:1443508:TE	8.23	5.13	9.33	8.04	OVERLAP
chr20:-:1443145:TE	1.76	0.00	0.67	0.54	OVERLAP
chr20:-:1442170:TE	8.67	12.27	14.67	14.02	OK
chr12:-:21470150:TE	1.47	3.46	3.13	1.94	OVERLAP
chr12:-:21469920:TE	0.29	1.56	2.00	1.63	OVERLAP
chr12:-:21468918:TE	18.41	26.89	22.34	32.24	OK
chr14:-:67651243:TE	0.88	0.67	1.87	0.22	OVERLAP
chr14:-:67651146:TE	41.04	32.83	39.82	59.03	OVERLAP
chr14:-:67651046:TE	0.88	1.12	1.47	0.65	OVERLAP
chr14:-:67650919:TE	1.76	0.22	1.07	0.87	OVERLAP
chr14:-:67650466:TE	10.58	6.25	7.87	6.85	OK
chr14:-:67647888:TE	1.76	6.25	4.40	4.78	OK
chr14:-:67647074:TE	9.11	16.51	10.27	14.24	OK
chr13:+:99891616:TE	0.59	0.22	1.47	0.00	OK
chr13:+:99892127:TE	2.94	0.45	0.80	0.22	OK
chr13:+:99892569:TE	21.04	6.03	7.33	5.22	OK
chr18:-:63331461:TE	1.62	1.12	2.67	1.09	OK
chr18:-:63330796:TE	2.64	2.68	1.47	0.65	OVERLAP
chr18:-:63330709:TE	20.01	19.42	7.20	11.09	OVERLAP
chr18:-:63330590:TE	0.98	1.34	0.40	0.54	OVERLAP
chr18:-:63328773:TE	3.23	6.47	3.73	4.24	OK
chr18:-:63327723:TE	6.76	8.48	7.24	7.28	OK
chr5:+:14509348:TE	4.70	3.57	6.13	3.80	OK
chr5:+:14510203:TE	62.59	77.27	40.18	41.10	OK
chr10:-:89583272:TE	2.94	2.68	2.13	1.41	OVERLAP
chr10:-:89582989:TE	9.40	8.76	11.98	10.38	OVERLAP
chr9:-:124857979:TE	3.13	1.84	8.20	8.13	OVERLAP
chr9:-:124857927:TE	0.29	0.45	1.47	1.96	OVERLAP
chr9:-:124857884:TE	887.96	798.15	1868.98	1766.04	OVERLAP
chr16:-:69710842:TE	7.05	12.05	14.93	14.67	OK
chr16:-:69709402:TE	4.41	0.89	2.93	1.63	OK
chr3:-:172505658:TE	0.59	1.67	0.00	0.65	OVERLAP
chr3:-:172505510:TE	0.00	1.12	0.27	0.54	OVERLAP
chr8:-:100703294:TE	609.03	532.89	400.32	253.30	OVERLAP
chr8:-:100703237:TE	2.79	5.02	5.33	6.94	OVERLAP
chr8:-:100703090:TE	173.37	140.25	76.14	47.11	OVERLAP
chr8:-:100703061:TE	1.18	0.45	0.53	0.33	OVERLAP
chr8:-:100702916:TE	1103.82	1542.72	1285.43	1545.50	OVERLAP
chr7:+:107159910:TE	0.00	1.12	0.40	0.49	OK
chr7:+:107161440:TE	7.15	3.35	6.33	4.17	OVERLAP
chr7:+:107161525:TE	5.88	11.38	3.07	5.43	OVERLAP
chr7:+:107161810:TE	3.82	2.45	3.47	5.22	OVERLAP
chr14:-:92064095:TE	8.03	11.94	7.54	9.18	OK
chr14:-:92063578:TE	12.05	9.37	10.03	6.52	OK
chr14:-:92061089:TE	4.70	14.95	1.87	8.51	OK
chr14:-:92059285:TE	2.64	12.72	1.13	4.27	OK
chr14:-:92058553:TE	6.46	7.59	3.60	4.89	OK
chr14:-:92044770:TE	0.44	0.00	1.47	0.22	OK
chr14:-:92038643:TE	0.29	3.35	2.00	3.15	OK
chrX:+:130056667:TE	0.29	2.23	0.53	1.30	OVERLAP
chrX:+:130056718:TE	1.47	3.79	2.13	5.11	OVERLAP
chrX:+:130057914:TE	0.59	1.34	0.13	0.98	OVERLAP
chrX:+:130058065:TE	2.35	1.56	1.60	1.20	OVERLAP
chr19:+:16133537:TE	30.34	33.95	30.60	39.69	OVERLAP
chr19:+:16133633:TE	14.26	14.06	17.70	10.33	OVERLAP
chr19:+:16134230:TE	5.88	0.78	4.00	0.65	OK
chr5:+:66179181:TE	2.64	0.67	3.07	1.52	OVERLAP
chr5:+:66179338:TE	0.88	1.12	0.53	0.54	OVERLAP
chr5:+:66179499:TE	3.53	1.12	2.13	1.63	OVERLAP
chr5:+:66180664:TE	10.28	23.32	19.20	16.91	OVERLAP
chr5:+:66180883:TE	30.27	45.53	41.93	37.78	OVERLAP
chr5:+:66182489:TE	7.35	6.47	3.60	7.93	OK
chr5:+:66183615:TE	1.76	1.79	3.20	1.30	OK
chr17:-:60447240:TE	10.58	9.82	8.93	6.77	OK
chr17:-:60445468:TE	18.95	43.96	26.34	37.13	OK
chr17:-:60443159:TE	5.58	4.69	8.80	6.85	OK
chr13:-:106559590:EX	53.48	55.61	25.47	19.89	OVERLAP
chr13:-:106559448:EX	2.94	0.45	0.67	0.65	OVERLAP
chr2:+:9403679:TE	3.23	1.12	1.47	1.52	OK
chr2:+:9405677:TE	14.69	32.14	25.97	28.04	OK
chr14:-:29576947:TE	1.18	3.12	3.07	2.72	OK
chr14:-:29576484:TE	9.46	15.44	6.13	7.17	OK
chr11:-:73872769:TE	74.04	25.69	43.99	27.61	OVERLAP
chr11:-:73872670:TE	45.25	99.90	32.55	69.70	OVERLAP
chr6:+:121447148:TE	0.00	1.12	0.73	0.22	OK
chr6:+:121449279:TE	0.29	1.79	1.33	1.30	OK
chr6:+:121449733:TE	31.54	43.14	42.53	23.31	OK
chr5:-:90460511:TE	3.82	1.34	3.07	3.15	OK
chr5:-:90459976:TE	1.76	3.12	2.53	2.83	OK
chr5:-:90458210:TE	9.99	7.70	10.53	8.26	OK
chr16:-:1962258:TE	0.62	0.64	1.52	1.60	OVERLAP
chr16:-:1962146:TE	5.73	2.94	13.89	13.91	OVERLAP
chr16:-:1962059:TE	684.07	690.11	661.64	654.73	OVERLAP
chr4:-:6707746:TE	46.37	28.67	20.45	18.42	OVERLAP
chr4:-:6707689:TE	52.44	47.39	37.70	47.02	OVERLAP
chr7:+:16783635:TE	0.88	2.23	1.47	0.98	OK
chr7:+:16784372:TE	0.29	1.12	0.27	0.11	OVERLAP
chr7:+:16784424:TE	0.88	1.34	2.00	1.77	OVERLAP
chr7:+:16784480:TE	119.24	167.18	108.95	119.34	OVERLAP
chr7:+:16784534:TE	11.46	32.88	27.20	35.59	OVERLAP
chr6:-:78940580:TE	3.23	2.45	2.00	0.43	OK
chr6:-:78938915:TE	7.05	6.03	6.20	5.54	OK
chr6:-:78938210:TE	1.47	0.67	0.40	0.54	OK
chr6:-:78935873:TE	67.47	99.27	39.68	33.67	OK
chr18:+:2802928:TE	2.35	1.56	4.67	3.48	OK
chr18:+:2805011:TE	45.59	40.17	30.53	29.38	OK
chr10:-:67811312:TE	5.48	5.13	4.00	8.91	OVERLAP
chr10:-:67811210:TE	3.53	6.25	2.00	4.46	OVERLAP
chr10:-:67810986:TE	0.29	0.89	0.67	1.09	OVERLAP
chr6:-:8080007:TE	5.53	5.91	12.60	6.41	OVERLAP
chr6:-:8079836:TE	0.00	0.45	1.07	1.52	OVERLAP
chr6:-:8079653:TE	22.72	28.90	51.45	33.58	OVERLAP
chr6:-:8079605:TE	155.28	228.39	209.18	250.22	OVERLAP
chr6:-:8079396:TE	19.10	51.63	43.87	58.36	OVERLAP
chr3:-:150544350:TE	28.01	19.75	36.93	22.93	OVERLAP
chr3:-:150544219:TE	117.30	82.01	108.20	76.73	OVERLAP
chr3:-:150542511:TE	44.58	104.90	63.42	72.49	OVERLAP
chr3:-:150542179:TE	6.17	10.49	7.87	9.67	OVERLAP
chr3:-:150542047:TE	1.47	0.67	0.93	0.65	OVERLAP
chr3:-:150542000:TE	10.14	9.15	26.85	20.65	OVERLAP
chr15:-:55205351:TE	5.00	3.79	5.07	6.85	OK
chr15:-:55203905:TE	1.47	0.00	0.80	0.65	OK
chr15:-:55202969:TE	3.23	8.70	5.20	6.74	OK
chr8:+:135647198:TE	17.63	8.70	9.73	5.87	OK
chr8:+:135647623:TE	116.66	83.02	68.13	56.52	OK
chr3:+:71756105:TE	0.88	0.22	1.20	0.87	OVERLAP
chr3:+:71756495:TE	55.29	54.94	53.40	32.28	OVERLAP
chrX:+:65736804:EX	1.18	0.45	0.93	0.87	OVERLAP
chrX:+:65736832:EX	0.73	0.67	0.53	1.03	OVERLAP
chr15:-:42542588:TE	3.23	4.91	3.07	4.13	OVERLAP
chr15:-:42542512:TE	8.33	9.60	2.53	4.35	OVERLAP
chr15:-:42537834:TE	2.64	5.91	1.87	5.65	OK
chr5:-:50397765:TE	1.18	0.00	0.13	0.00	OK
chr5:-:50396288:TE	0.88	2.01	2.13	1.58	OVERLAP
chr5:-:50396193:TE	34.92	39.77	20.53	29.16	OVERLAP
chr12:+:118145030:TE	1.18	0.22	0.67	0.43	OVERLAP
chr12:+:118145150:TE	61.81	50.15	58.74	41.02	OVERLAP
chr12:+:118145595:TE	66.38	128.69	163.53	157.21	OK
chr6:-:38171394:TE	4.70	1.34	2.80	1.30	OK
chr6:-:38168452:TE	0.59	0.89	1.73	1.74	OK
chr3:+:40462109:TE	0.29	0.45	1.60	3.70	OVERLAP
chr3:+:40462283:TE	166.62	180.63	98.88	102.70	OVERLAP
chr3:+:40462381:TE	55.10	228.61	87.19	341.80	OVERLAP
chr3:+:40465467:TE	1.47	1.56	0.27	0.33	OK
chr3:+:40466947:TE	1.76	1.56	0.53	0.87	OVERLAP
chr3:+:40467154:TE	4.73	11.16	4.27	6.74	OVERLAP
chr11:+:114408865:TE	5.29	3.24	3.20	2.07	OVERLAP
chr11:+:114408911:TE	18.51	13.61	14.40	14.46	OVERLAP
chr11:+:114410264:TE	0.88	0.22	1.24	0.43	OVERLAP
chr11:+:114410410:TE	1.76	2.01	2.80	0.87	OVERLAP
chr12:+:103943224:TE	4.70	7.36	5.33	2.83	OVERLAP
chr12:+:103943316:TE	1.18	0.67	0.93	0.98	OVERLAP
chr17:-:5432916:TE	21.70	10.71	13.93	6.88	OVERLAP
chr17:-:5432892:TE	5.29	4.97	7.60	5.43	OVERLAP
chr17:-:5432864:TE	8.37	7.59	11.67	11.57	OVERLAP
chr17:-:5432779:TE	1665.82	2040.33	2005.43	2022.56	OVERLAP
chr1:-:71065044:TE	6.46	2.45	5.47	3.26	OVERLAP
chr1:-:71064851:TE	8.37	6.47	2.40	1.52	OVERLAP
chr1:-:71064000:TE	0.88	1.56	3.80	1.63	OVERLAP
chr1:-:71063804:TE	0.59	0.67	1.20	0.33	OVERLAP
chr1:-:71063338:TE	22.74	22.32	46.15	33.42	OVERLAP
chr1:-:71063292:TE	58.18	123.47	78.14	93.32	OVERLAP
chrX:+:78049946:TE	5.58	7.59	5.43	6.14	OK
chrX:+:78050394:TE	1.47	1.56	2.28	1.30	OK
chr2:-:177616254:TE	2.06	0.22	0.80	0.54	OVERLAP
chr2:-:177616002:TE	0.59	5.02	1.73	2.52	OVERLAP
chr2:-:177615816:TE	0.00	0.89	0.00	1.09	OVERLAP
chr2:-:177614756:TE	1.47	0.67	0.67	0.43	OK
chr2:-:177614299:TE	2.64	1.34	3.87	1.30	OK
chr6:+:133987492:TE	32.64	68.25	66.11	112.18	OVERLAP
chr6:+:133987589:TE	0.59	2.68	0.93	3.15	OVERLAP
chr6:+:133988262:TE	0.29	1.12	1.07	3.04	OK
chr6:+:133989234:TE	0.59	4.02	0.67	2.50	OK
chr6:+:133990422:TE	0.59	1.56	0.27	0.43	OK
chr13:+:45033606:TE	30.61	43.22	15.22	25.35	OK
chr13:+:45037668:TE	2.06	2.23	0.53	0.98	OK
chr1:-:186313831:TE	90.26	87.59	77.51	69.31	OK
chr1:-:186312361:TE	4.11	10.49	4.93	4.46	OK
chr1:+:154270654:TE	0.88	0.45	2.53	0.76	OVERLAP
chr1:+:154270846:TE	11.94	9.26	11.77	8.04	OVERLAP
chr11:-:66345714:TE	0.29	0.67	0.67	1.30	OVERLAP
chr11:-:66345641:TE	0.59	3.57	0.53	0.33	OVERLAP
chr11:-:66345375:TE	63.81	52.89	79.34	66.30	OVERLAP
chr9:+:131498162:TE	12.19	6.72	14.42	9.78	OVERLAP
chr9:+:131498230:TE	1.47	1.12	2.13	0.43	OVERLAP
chr9:+:131498309:TE	2.06	2.68	1.60	0.76	OVERLAP
chr9:+:131500212:TE	22.19	40.22	26.97	52.52	OK
chr17:-:29561294:TE	10.58	36.19	11.87	13.84	OK
chr17:-:29560549:TE	7.35	6.03	4.53	3.91	OK
chr4:-:99548243:TE	0.59	5.13	2.67	4.46	OVERLAP
chr4:-:99548143:TE	0.10	2.01	0.27	0.98	OVERLAP
chr5:-:111730803:TE	0.88	4.02	1.20	1.85	OK
chr5:-:111729305:TE	40.26	39.28	37.27	35.74	OK
chr14:-:89797127:TE	13.91	8.93	16.27	13.91	OK
chr14:-:89794656:TE	5.00	3.35	3.60	5.43	OK
chr16:-:87832669:TE	2.50	0.89	0.13	0.11	OK
chr16:-:87830024:TE	30.07	37.57	34.00	20.67	OK
chr21:+:14227385:TE	5.29	3.12	3.47	3.86	OVERLAP
chr21:+:14227419:TE	0.59	2.90	1.20	1.85	OVERLAP
chr21:+:14227547:TE	0.00	1.34	0.27	0.33	OVERLAP
chr21:+:14227988:TE	0.59	1.56	0.80	1.41	OVERLAP
chr21:+:14228172:TE	1.76	7.36	3.47	4.56	OVERLAP
chr21:+:14228389:TE	9.99	17.67	5.33	6.20	OVERLAP
chr19:+:44234759:TE	38.94	29.06	15.47	19.18	OVERLAP
chr19:+:44234917:TE	2.35	0.67	1.47	0.76	OVERLAP
chr19:+:44237267:TE	61.17	87.26	81.14	111.44	OK
chr11:+:70435388:TE	4.11	2.23	1.20	1.63	OK
chr11:+:70436574:TE	79.29	151.88	78.82	98.00	OK
chr1:+:100976042:TE	4.11	14.39	5.87	4.78	OVERLAP
chr1:+:100976342:TE	2.06	0.45	2.27	0.43	OVERLAP
chr1:+:100976510:TE	2.06	1.34	5.33	1.85	OVERLAP
chr1:+:100978714:TE	1.62	1.56	2.13	1.41	OVERLAP
chr1:+:100978759:TE	2.35	0.22	0.93	0.54	OVERLAP
chr1:+:100980467:TE	3.23	0.67	0.80	0.33	OK
chr1:+:100981755:TE	14.10	22.54	8.93	12.50	OK
chrX:-:53192285:TE	1.76	2.01	6.40	2.07	OVERLAP
chrX:-:53192222:TE	4.85	5.02	4.31	3.26	OVERLAP
chrX:-:53192161:TE	63.33	101.78	44.25	46.19	OVERLAP
chrX:-:53191472:TE	2.64	2.01	1.33	1.85	OVERLAP
chrX:-:53191322:TE	0.59	1.79	0.53	0.22	OVERLAP
chr17:-:50862287:TE	1.18	0.67	2.47	1.74	OVERLAP
chr17:-:50862207:TE	66.47	116.97	82.58	106.69	OVERLAP
chr6:+:44250431:EX	9.11	17.11	5.67	6.96	OVERLAP
chr6:+:44250533:EX	1.03	4.31	1.80	2.45	OVERLAP
chr6:+:87260568:TE	2.94	1.34	0.53	0.11	OK
chr6:+:87261243:TE	40.97	33.20	30.00	35.72	OK
chr6:+:87262237:TE	0.59	3.12	1.07	4.78	OK
chr6:+:87262765:TE	1.03	2.45	1.33	3.15	OK
chr6:+:87263485:TE	6.02	6.47	9.47	9.56	OVERLAP
chr6:+:87263547:TE	1.76	3.42	1.07	2.08	OVERLAP
chr6:+:87263763:TE	1.18	0.22	0.27	0.22	OVERLAP
chr17:-:1465371:TE	1.76	0.89	0.67	1.41	OK
chr17:-:1464188:TE	74.64	32.25	55.27	39.85	OK
chr17:+:39728575:TE	15.94	34.37	26.40	23.31	OVERLAP
chr17:+:39728670:TE	12.12	12.70	19.13	14.29	OVERLAP
chr10:+:90900771:TE	46.43	20.98	47.13	32.71	OVERLAP
chr10:+:90900854:TE	6.76	3.79	4.13	4.56	OVERLAP
chr10:+:90900976:TE	3.23	17.85	4.73	19.29	OVERLAP
chr10:+:90902206:TE	1.18	0.00	0.93	1.20	OK
chr11:+:65866369:TE	0.59	0.27	2.33	0.76	OVERLAP
chr11:+:65866438:TE	22.49	10.71	22.19	16.11	OVERLAP
chr5:-:75373930:TE	4.41	4.02	1.11	0.98	OVERLAP
chr5:-:75373898:TE	1.18	0.00	0.00	0.00	OVERLAP
chr5:-:75373273:TE	0.59	1.12	0.40	0.33	OK
chr5:-:75372382:TE	2.35	5.13	1.33	2.39	OK
chr5:-:75371108:TE	14.40	19.46	12.76	20.10	OK
chr22:+:37942001:TE	28.93	5.80	18.64	7.06	OK
chr22:+:37942449:TE	0.00	0.22	0.40	1.09	OK
chr5:+:173959736:TE	1.76	1.12	0.93	1.58	OK
chr5:+:173960342:TE	8.37	14.17	15.47	13.37	OK
chr5:+:61544474:TE	0.29	1.12	1.07	0.98	OK
chr5:+:61546171:TE	16.75	41.09	16.67	20.00	OK
chr3:-:128081014:TE	3.53	4.24	5.47	4.56	OVERLAP
chr3:-:128080960:TE	181.03	213.47	159.37	132.84	OVERLAP
chr3:+:17090125:TE	3.82	3.57	4.13	2.07	OK
chr3:+:17090594:TE	6.61	7.59	9.33	6.30	OK
chr14:+:21089544:TE	5.88	8.37	11.87	7.39	OK
chr14:+:21090242:TE	2.94	1.12	2.80	2.07	OK
chr7:+:151045562:TE	4.70	0.89	10.13	3.70	OK
chr7:+:151047776:TE	1.18	0.45	0.93	0.11	OK
chr6:-:5109045:TE	35.46	10.49	41.93	14.35	OK
chr6:-:5108420:TE	7.64	8.37	9.87	5.54	OK
chr5:+:154419031:TE	1.18	0.00	0.93	0.46	OK
chr5:+:154420980:TE	11.17	5.58	9.20	8.37	OK
chr6:+:143339621:TE	1.18	0.00	3.33	0.11	OVERLAP
chr6:+:143339858:TE	8.37	1.56	4.73	1.30	OVERLAP
chr6:+:143340018:TE	51.72	18.56	29.07	7.93	OVERLAP
chr6:+:143340212:TE	1.76	0.00	0.93	0.00	OVERLAP
chr6:+:143340302:TE	61.24	17.18	36.05	8.69	OVERLAP
chr8:+:85480948:TE	1.47	1.34	2.00	1.63	OK
chr8:+:85481492:TE	185.42	126.87	170.60	163.24	OK
chr12:+:56469677:TE	0.29	1.56	0.80	1.41	OVERLAP
chr12:+:56469941:TE	0.00	1.12	0.40	0.76	OVERLAP
chr12:+:56470014:TE	9.55	12.72	6.80	13.07	OVERLAP
chr12:+:56470986:TE	1.18	3.35	3.33	4.56	OK
chr12:+:56479692:TE	1.21	0.00	0.40	0.65	OK
chr11:+:112062628:TE	1.47	12.61	4.40	7.17	OK
chr11:+:112063211:TE	7.20	9.60	6.13	6.74	OK
chr11:+:112063890:TE	12.64	14.95	11.07	11.19	OVERLAP
chr11:+:112064276:TE	8.03	5.58	6.80	9.17	OVERLAP
chr11:+:112064388:TE	5.88	7.20	3.50	5.00	OVERLAP
chr20:-:50124245:TE	0.29	1.12	1.33	0.87	OVERLAP
chr20:-:50124170:TE	45.25	54.68	45.47	53.09	OVERLAP
chr20:-:50123765:TE	6.46	4.46	6.67	5.11	OK
chr20:-:50118255:TE	1.47	3.12	2.40	2.50	OK
chr1:+:94518526:TE	16.46	9.60	5.07	6.85	OVERLAP
chr1:+:94518662:TE	17.14	22.70	9.48	15.94	OVERLAP
chr1:-:212364963:TE	9.70	10.45	6.00	5.87	OK
chr1:-:212364476:TE	75.23	68.51	72.28	51.12	OK
chr20:+:36592379:TE	0.00	0.45	0.27	1.41	OK
chr20:+:36593947:TE	24.19	35.56	33.57	34.03	OK
chr2:-:241106297:TE	10.58	24.37	12.73	16.03	OVERLAP
chr2:-:241106094:TE	5.29	6.25	4.40	4.24	OVERLAP
chr2:-:37252942:TE	32.47	18.30	28.80	11.19	OK
chr2:-:37251825:TE	2.35	1.34	0.93	0.43	OK
chr2:-:37250709:TE	42.02	33.70	45.62	23.48	OVERLAP
chr2:-:37250518:TE	5.58	3.12	1.33	2.07	OVERLAP
chr2:-:37250484:TE	30.60	18.37	13.60	9.24	OVERLAP
chr3:+:197954008:TE	0.88	0.89	1.47	3.48	OVERLAP
chr3:+:197954039:TE	2.94	2.75	8.40	10.47	OVERLAP
chr7:+:90235327:TE	1.76	0.89	0.40	0.22	OK
chr7:+:90235870:TE	1.76	1.56	0.40	1.20	OK
chr7:+:90237615:TE	9.99	15.06	4.53	9.24	OVERLAP
chr7:+:90237695:TE	3.23	3.57	0.93	1.85	OVERLAP
chr1:-:205720647:EX	3.23	2.23	1.87	0.22	OVERLAP
chr1:-:205720580:EX	1.47	0.67	1.07	1.09	OVERLAP
chr1:-:205720526:EX	2.15	1.34	2.13	0.54	OVERLAP
chr16:+:53326987:TE	1.18	0.67	1.07	0.43	OK
chr16:+:53327451:TE	2.06	4.24	2.40	3.04	OVERLAP
chr16:+:53327496:TE	43.78	47.81	42.30	35.94	OVERLAP
chr1:-:88982468:TE	5.07	5.43	0.83	0.62	OVERLAP
chr1:-:88982365:TE	0.29	0.00	1.20	0.87	OVERLAP
chr1:-:88981966:TE	6.10	4.33	4.54	3.67	OVERLAP
chr1:-:88979457:TE	13.81	39.95	32.67	45.33	OK
chr6:+:155257661:TE	1.76	0.67	2.13	1.52	OVERLAP
chr6:+:155257736:TE	6.17	3.12	3.75	3.91	OVERLAP
chr20:+:57408670:TE	0.00	0.22	0.53	1.30	OK
chr20:+:57409334:TE	50.35	47.87	34.95	46.03	OK
chr10:+:13209839:TE	4.70	4.69	4.40	4.13	OVERLAP
chr10:+:13209898:TE	6.17	13.39	4.96	11.67	OVERLAP
chr10:+:13210803:TE	0.59	3.57	3.73	3.15	OVERLAP
chr10:+:13211109:TE	22.29	27.67	25.28	21.74	OVERLAP
chr1:+:228098203:TE	0.88	2.06	2.20	2.61	OK
chr1:+:228099047:TE	2.64	4.69	3.47	4.02	OVERLAP
chr1:+:228099123:TE	81.98	127.46	100.27	117.27	OVERLAP
chr1:+:228099211:TE	1072.44	1001.00	628.37	609.50	OVERLAP
chr5:+:149340969:TE	2.94	1.12	2.53	2.39	OVERLAP
chr5:+:149341158:TE	3.53	3.63	2.53	3.04	OVERLAP
chr5:+:149341802:TE	1.47	0.89	1.47	0.98	OK
chr3:+:122409941:TE	2.64	0.89	1.67	3.04	OK
chr3:+:122412333:TE	1.76	9.43	3.60	10.24	OK
chr1:-:64834455:TE	0.88	1.79	0.93	0.65	OK
chr1:-:64833213:TE	34.09	18.75	28.57	19.41	OK
chr8:+:30766475:TE	1.18	0.45	2.13	0.43	OVERLAP
chr8:+:30766839:TE	0.29	0.00	1.87	0.33	OVERLAP
chr8:+:30767009:TE	36.09	19.14	36.45	18.04	OVERLAP
chr17:+:50746608:EX	0.59	0.67	0.53	1.52	OVERLAP
chr17:+:50746653:EX	3.82	1.79	1.07	0.76	OVERLAP
chr17:+:50746702:EX	228.37	133.47	131.44	107.66	OVERLAP
chr4:+:81053879:TE	1.18	0.45	0.00	0.00	OK
chr4:+:81055028:TE	0.29	0.00	1.20	0.11	OK
chr4:+:81057532:TE	1.18	3.35	1.07	1.63	OK
chr11:+:32602372:TE	1.47	1.56	0.93	2.61	OVERLAP
chr11:+:32602480:TE	4.11	2.90	1.60	2.01	OVERLAP
chr11:+:32603636:TE	3.53	8.03	2.80	6.38	OK
chr1:-:114392797:TE	4.41	5.58	3.47	2.72	OVERLAP
chr1:-:114392760:TE	12.64	17.18	10.00	11.30	OVERLAP
chr3:+:40539563:TE	33.09	13.46	19.35	16.63	OVERLAP
chr3:+:40539780:TE	1.76	1.12	1.20	0.33	OVERLAP
chr4:+:158906325:TE	0.29	0.45	1.47	0.22	OK
chr4:+:158908048:TE	8.82	16.96	16.36	15.36	OK
chr18:-:59330965:TE	10.87	8.03	6.13	2.75	OVERLAP
chr18:-:59330925:TE	22.92	15.96	14.67	7.61	OVERLAP
chr18:-:59328938:TE	4.41	3.35	3.33	1.74	OK
chr18:-:59328506:TE	1.18	0.00	0.13	0.11	OVERLAP
chr18:-:59328431:TE	8.52	6.03	5.87	2.93	OVERLAP
chr18:-:59327804:TE	86.28	178.58	66.36	68.56	OK
chr7:-:92200087:TE	0.00	0.45	1.09	0.33	OVERLAP
chr7:-:92200047:TE	1.47	0.00	1.07	0.00	OVERLAP
chr7:-:92200016:TE	20.94	12.83	18.74	13.15	OVERLAP
chr7:-:92199405:TE	6.46	2.34	6.53	3.04	OK
chr6:+:139042986:TE	1.47	2.23	2.13	1.85	OVERLAP
chr6:+:139043114:TE	3.53	8.93	4.40	9.78	OVERLAP
chr6:+:139043254:TE	0.88	1.79	0.53	1.30	OVERLAP
chr6:+:139043296:TE	101.48	194.72	114.64	219.76	OVERLAP
chr12:+:56122507:TE	3.01	6.25	4.93	4.24	OK
chr12:+:56124257:TE	0.29	0.89	1.07	1.30	OK
chrX:-:16589550:TE	3.23	5.58	4.96	1.63	OK
chrX:-:16587991:TE	4.51	9.22	9.67	11.30	OK
chr5:+:163491295:TE	8.04	11.38	6.75	3.50	OK
chr5:+:163491939:TE	142.52	61.82	112.25	75.32	OK
chr16:-:19706890:TE	6.46	4.91	5.27	1.96	OK
chr16:-:19706354:TE	10.97	16.09	30.27	24.45	OK
chr16:-:19701938:TE	5.88	3.35	4.13	4.13	OK
chr12:+:12721822:TE	1.76	3.57	3.73	2.39	OVERLAP
chr12:+:12721955:TE	6.46	2.23	2.53	2.28	OVERLAP
chr12:+:12722189:TE	0.29	2.01	0.53	1.09	OVERLAP
chr12:+:12722368:TE	106.03	88.26	98.15	75.99	OVERLAP
chr17:+:80966252:TE	4.11	2.68	3.87	4.13	OVERLAP
chr17:+:80966367:TE	11.17	4.91	10.40	9.13	OVERLAP
chr11:+:126262365:TE	0.00	0.22	1.07	0.87	OVERLAP
chr11:+:126262565:TE	0.88	2.90	1.87	1.85	OVERLAP
chr11:+:126262645:TE	16.26	18.97	23.02	25.65	OVERLAP
chr11:+:126262935:TE	2.35	4.02	3.20	2.28	OVERLAP
chr11:+:126262986:TE	4.11	0.45	2.67	1.96	OVERLAP
chr15:-:49127480:TE	12.64	19.08	12.40	8.80	OVERLAP
chr15:-:49127346:TE	52.83	37.94	66.95	52.87	OVERLAP
chr15:-:49126247:TE	3.92	9.22	1.53	0.98	OVERLAP
chr15:-:49126165:TE	1.47	1.79	1.11	1.85	OVERLAP
chr15:-:49126031:TE	14.55	27.97	16.20	17.88	OVERLAP
chr15:-:49125625:TE	2.74	1.56	3.07	2.83	OVERLAP
chr15:-:49125529:TE	0.29	1.34	1.20	1.96	OVERLAP
chr15:-:49125470:TE	12.64	35.71	14.40	21.52	OVERLAP
chr15:-:49125281:TE	6.17	10.63	5.60	5.87	OVERLAP
chr12:+:109917085:TE	1.18	0.45	0.27	0.11	OK
chr12:+:109918065:TE	9.11	10.71	14.93	16.85	OK
chr14:-:65075545:TE	4.41	2.34	6.00	4.78	OVERLAP
chr14:-:65075198:TE	1.18	1.34	2.53	2.07	OVERLAP
chr9:+:104759579:TE	5.29	3.12	3.60	2.50	OVERLAP
chr9:+:104759957:TE	0.59	2.01	0.67	1.09	OVERLAP
chr9:+:104760118:TE	64.65	87.48	37.90	69.50	OVERLAP
chr12:+:113389396:TE	1.47	0.45	1.60	0.65	OK
chr12:+:113391570:TE	2.20	2.68	3.73	3.26	OVERLAP
